 time[yr],type[tp/pl],particle no.,x[AU],y[AU],z[AU],vx[AU/year],vy[AU/year],vz[AU/year],a,e,inc[degrees]
         0.0001, tp,    43,   -0.000611062,   -0.000838761,   -0.000000121,  167.950254912,  -80.859315390,   -0.000063047,    0.000954983,    0.199109420,    0.006767444
         0.0001, tp,    44,   -0.000682023,    0.000843044,    0.000000075, -153.835322108,  -89.547460711,   -0.014472757,    0.000959871,    0.199191004,    0.006619495
         0.0001, tp,    45,    0.000255181,    0.001126820,    0.000000174, -160.811392268,   39.343414925,   -0.007765056,    0.000964493,    0.198606834,    0.009079276
         0.0001, tp,    46,    0.001085714,    0.000323269,    0.000000101,  -65.688350656,  157.031117831,    0.008773354,    0.000969373,    0.198670641,    0.006220855
         0.0001, tp,    47,   -0.000074629,   -0.001141685,    0.000000078,  166.566638520,  -27.317047637,   -0.002874788,    0.000974290,    0.198826596,    0.004135093
         0.0001, tp,    48,   -0.000335394,   -0.000944094,   -0.000000017,  194.245386075,  -27.721821813,    0.022251817,    0.000979434,    0.199538767,    0.006505343
         0.0001, tp,    49,   -0.000187309,    0.000966494,    0.000000040, -185.013699569,  -76.589905693,    0.015485258,    0.000984360,    0.199708953,    0.005526796
         0.0001, tp,    50,    0.000633005,    0.000991738,    0.000000144, -133.439658287,   96.838798860,    0.020654432,    0.000988799,    0.198691383,    0.009763106
         0.0001, tp,    51,   -0.000914009,   -0.000738618,    0.000000009,  114.035392474, -120.220648841,   -0.006199799,    0.000993621,    0.198613077,    0.002158402
         0.0001, tp,    52,    0.000081650,   -0.000843550,    0.000000057,  225.559559511,   52.837107348,    0.003780419,    0.000999546,    0.201185673,    0.004149629
         0.0001, tp,    53,   -0.000078131,    0.001146381,   -0.000000119, -170.969886935,   12.022576275,    0.019856261,    0.001003514,    0.199055955,    0.009599591
         0.0001, tp,    54,   -0.001059796,    0.000375673,   -0.000000013,  -85.327672905, -154.249869565,    0.017082620,    0.001008469,    0.199295938,    0.005780703
         0.0001, tp,    55,    0.000930866,    0.000590166,    0.000000020,  -67.742274508,  167.607017705,    0.014779953,    0.001013419,    0.199519649,    0.004689224
         0.0001, tp,    56,   -0.000528719,   -0.001078253,    0.000000053,  140.648839775,  -84.757179980,   -0.008885385,    0.001017961,    0.198774889,    0.004169993
         0.0001, tp,    57,   -0.000818337,   -0.000415821,    0.000000090,   63.474357832, -208.400363810,    0.023650349,    0.001023895,    0.201305300,    0.007744416
         0.0001, tp,    58,    0.000712177,    0.000551973,    0.000000072, -162.144380816,  151.511739991,    0.002618401,    0.001028564,    0.200864047,    0.004817797
         0.0001, tp,    59,   -0.000841569,    0.000812942,   -0.000000007,  -99.163299885, -139.328157961,    0.017825286,    0.001032561,    0.198858202,    0.005997937
         0.0001, tp,    60,    0.000695878,   -0.000526512,   -0.000000003,  114.462801392,  198.406593730,    0.031543270,    0.001038473,    0.201303795,    0.007929465
         0.0001, tp,    61,   -0.000108312,    0.001217397,   -0.000000073, -160.570685390,  -30.635048717,   -0.024231229,    0.001042184,    0.198659196,    0.009517573
         0.0001, tp,    62,    0.000328030,   -0.000853026,    0.000000018,  215.923918264,   45.941812969,   -0.004583456,    0.001048300,    0.201546088,    0.001772259
         0.0001, tp,    63,    0.001005388,   -0.000108807,   -0.000000164,   60.681309096,  192.082775157,   -0.011617710,    0.001052764,    0.200650021,    0.009404965
         0.0001, tp,    64,   -0.000804708,    0.000749802,    0.000000144,  -97.534073940, -157.882678701,   -0.008924630,    0.001057090,    0.199440509,    0.007624951
         0.0001, tp,    65,    0.000848364,   -0.000654589,   -0.000000090,   84.205865488,  171.529730769,    0.020493623,    0.001062047,    0.199670643,    0.007157490
         0.0001, tp,    66,    0.001232768,    0.000334628,    0.000000137,  -38.485528792,  152.680630546,   -0.008082265,    0.001066431,    0.198602334,    0.006849525
         0.0001, tp,    67,   -0.001049354,    0.000497796,   -0.000000113,  -45.480993150, -170.500172792,    0.019956185,    0.001071532,    0.199156344,    0.007886651
         0.0001, tp,    68,   -0.000755182,   -0.000992756,    0.000000051,  140.821310167,  -82.377757574,    0.023645841,    0.001076196,    0.198728472,    0.008958413
         0.0001, tp,    69,    0.000854296,   -0.000896184,   -0.000000189,  102.738578791,  129.221894675,    0.011426494,    0.001081082,    0.198801056,    0.009168196
         0.0001, tp,    70,    0.000762095,   -0.000471659,   -0.000000002,  138.713631911,  180.417112454,   -0.025562273,    0.001087387,    0.201994866,    0.006457235
